주소,건물명_x,lat,lng
서울특별시 강서구 화곡동 1159,"우장산아이파크,이편한세상",37.5482625768732,126.840980606494
서울특별시 서대문구 대현동 144,럭키대현,37.5594539604684,126.946519557644
서울특별시 동작구 사당동 169-32,현대,37.4876132952185,126.970501034253
서울특별시 은평구 역촌동 43-4,하늘애,37.6004819441485,126.918434729942
서울특별시 도봉구 방학동 734,청구아파트,37.6568375682064,127.027578143923
서울특별시 영등포구 대림동 762-1,우성1,37.4955657383468,126.9005921977
서울특별시 관악구 봉천동 1698-1,보라매삼성,37.4948015028766,126.927602560192
서울특별시 구로구 구로동 107-4,비즈트위트 블루,37.4986733341879,126.891116202603
서울특별시 금천구 시흥동 1013,관악산벽산타운5,37.4497786332027,126.920020808062
서울특별시 서초구 방배동 763-12,푸른마을,37.4955836848859,126.984012896345
서울특별시 종로구 숭인동 181-121,도시그린빌라,37.5765334601309,127.020071632824
서울특별시 노원구 상계동 730-2,상계주공3(고층),37.6521705404342,127.060659844757
서울특별시 영등포구 신길동 4942,여의도리버뷰,37.5162316852714,126.921199739783
서울특별시 서초구 신원동 619,서초포레스타6단지,37.4496826596411,127.056241443278
서울특별시 송파구 잠실동 101-1,우성아파트,37.5071938064643,127.074204083657
서울특별시 도봉구 방학동 508,우성아파트2,37.6572641441672,127.022686737213
서울특별시 노원구 상계동 624,상계주공16(고층),37.6701880464645,127.054677638301
서울특별시 중랑구 신내동 795,새한,37.6049332871517,127.10122617607
서울특별시 성북구 돈암동 524,일신건영휴먼빌아파트,37.6007699096006,127.013617460956
서울특별시 송파구 신천동 7,장미1,37.5198173607856,127.099297662181
서울특별시 강동구 길동 415-16,청광플러스원큐브3차,37.5363674526244,127.136442751206
서울특별시 성북구 성북동1가 35-22,휴아름 스튜디오,37.5884578893911,127.005414226009
서울특별시 은평구 대조동 4-6,정익제이원,37.6117678551251,126.928177031177
서울특별시 마포구 창전동 443,해모로,37.5464775981715,126.928907135922
서울특별시 강남구 역삼동 709-5,테헤란아이파크,37.5025006142352,127.046384009751
서울특별시 마포구 합정동 468,두영이지안,37.5500293755493,126.906475564279
서울특별시 도봉구 창동 38,주공17단지,37.6437121231525,127.053952436142
서울특별시 용산구 문배동 24-4,용산큐브,37.5371597784296,126.968380751407
서울특별시 은평구 신사동 155-1,신성,37.5901940359917,126.905696946665
서울특별시 구로구 구로동 771-2,(771-2),37.4876218458319,126.888116078444
서울특별시 강동구 천호동 22-9,고려아파트(D동),37.5500632834796,127.140953352678
서울특별시 동대문구 장안동 384-1,공감대6차(384-1),37.5710534170736,127.06950304778
서울특별시 서초구 방배동 998,방배어울림,37.4781929040213,127.003860322761
서울특별시 강남구 수서동 559,강남데시앙포레,127.0912276,37.4809628
서울특별시 강동구 천호동 44,금호아파트,37.544847168923,127.142351999447
서울특별시 양천구 목동 643-7,동원,37.5447874871587,126.863961830686
서울특별시 은평구 불광동 645,불광롯데캐슬,37.6131320544168,126.932470564865
서울특별시 성북구 종암동 80,삼성래미안,37.6014922606804,127.031080353416
서울특별시 도봉구 방학동 444-31,대원그린아파트,37.6628661536364,127.02784592087
서울특별시 도봉구 쌍문동 54,현대1,37.6586683068739,127.030724177917
서울특별시 구로구 구로동 104-3,해담채3,37.4969605265217,126.891023698083
서울특별시 양천구 신정동 884-6,재훈,37.5276350902992,126.859522491423
서울특별시 은평구 대조동 9-14,주주베에이,37.6107131470046,126.928456431246
서울특별시 노원구 상계동 1265,수락산벨리체,37.6816324769124,127.055611773971
서울특별시 용산구 원효로1가 41,용산 더프라임,37.5403958008247,126.969718522289
서울특별시 강남구 논현동 275,동부센트레빌,37.5104798359114,127.037183296518
서울특별시 광진구 구의동 620-6,광남캐스빌,37.5459816589244,127.085661843216
서울특별시 영등포구 영등포동1가 144,헤렌어반,37.5172464470937,126.913546062257
서울특별시 영등포구 당산동4가 98,브라운스톤 당산,37.5278538150557,126.901630452178
서울특별시 금천구 독산동 1144,독산동한양수자인,37.4760196038189,126.899811569821
서울특별시 강동구 천호동 467-11,현진리버파크,37.5421794961691,127.120842044121
서울특별시 영등포구 신길동 769-1,한성,37.5048413546279,126.919573843923
서울특별시 강북구 수유동 734,북한산네이처파크,37.6462353681514,127.009764119306
서울특별시 도봉구 창동 825,북한산아이파크5차,37.6565711376964,127.042729027408
서울특별시 중구 충무로5가 36-2,충무로엘크루메크로시티2,37.5633945987251,126.999994227546
서울특별시 강서구 화곡동 926-4,지석,37.5287920174868,126.842216746437
서울특별시 강서구 등촌동 632-2,태영,37.5557917334096,126.864431871621
서울특별시 구로구 구로동 46-4,하나세인스톤3차,37.5005615281738,126.891951687001
서울특별시 중구 황학동 2545,롯데캐슬,37.5708105464699,127.021463886656
서울특별시 동대문구 회기동 60-230,동일스카이시티2차,37.5909710418793,127.048197843267
서울특별시 강서구 방화동 857,마곡삼성아파트,126.8221059,37.5717799
서울특별시 영등포구 대림동 717,쌍용플래티넘S,37.4953006652838,126.898058257377
서울특별시 중구 회현동1가 208,남산 롯데캐슬 아이리스,37.5582247092319,126.981744459746
서울특별시 금천구 시흥동 384-12,남서울건영2,37.4496340433581,126.910501928991
서울특별시 강남구 개포동 1164-30,뉴현대파크빌,37.4748147158631,127.05480461731
서울특별시 중랑구 묵동 381,신안1,37.6123786241686,127.080628240495
서울특별시 성동구 옥수동 557,극동옥정,37.5405229507013,127.013748613882
서울특별시 동대문구 이문동 254-40,주성아우라,37.6042880959431,127.061825100897
서울특별시 구로구 오류동 235-2,대산,37.4895079892942,126.832917689118
